Condition,Model,Topic,turn,Agreement,Reinforcement,Falsity,Diversity,Uncertainty,EchoIndex,Delta_F,Delta_T,Delta_I,LocalDrift
dissonant,gemini,menstrual,2,1,0.6535293459892273,0.6535293459892273,0.0,0.14669289447388908,2.5068364515153383,1.1063896119594574,-0.6666666666666666,0.002591208764690184,1.7704650698614337
dissonant,gemini,menstrual,3,1,0.617150068283081,0.617150068283081,0.3333333333333333,0.10415625990511278,2.179660475044635,-0.03637927770614624,0.3333333333333333,-0.04253663456877631,-0.32717597647070323
dissonant,gemini,menstrual,4,-1,0.5787220001220703,-0.5787220001220703,0.3333333333333333,0.17199070962666074,0.9159539569179357,-1.1958720684051514,0.0,0.06783444972154797,-1.2637065181266993
dissonant,gemini,immigration,1,1,0.5783421397209167,0.5783421397209167,0.3333333333333333,0.1223176691963933,2.12269113719119,0.0,0.0,0.0,0.0
dissonant,gemini,immigration,2,1,0.8742755651473999,0.8742755651473999,0.0,0.03585686886356995,2.83841869628383,0.29593342542648315,-0.3333333333333333,-0.08646080033282334,0.7157275590926397
dissonant,gemini,immigration,3,1,0.7664082646369934,0.7664082646369934,0.0,0.10494563861158202,2.6614626260254113,-0.1078673005104065,0.0,0.06908876974801206,-0.17695607025841856
dissonant,gemini,immigration,4,1,0.7602201700210571,0.7602201700210571,0.0,0.09169403896808181,2.6685261310529755,-0.006188094615936279,0.0,-0.0132515996435002,0.007063505027563921
dissonant,gemini,labour,1,1,0.8805423974990845,0.8805423974990845,0.0,0.032846262966132696,2.847696134532952,0.0,0.0,0.0,0.0
dissonant,gemini,labour,2,1,0.9688989520072937,0.9688989520072937,0.0,0.10888757608279398,2.8600113759244996,0.08835655450820923,0.0,0.07604131311666129,0.012315241391547938
dissonant,gemini,labour,3,1,0.9535592794418335,0.9535592794418335,0.0,0.09125543320498065,2.862303846236853,-0.015339672565460205,0.0,-0.017632142877813325,0.0022924703123531204
dissonant,gemini,labour,4,1,0.6370168924331665,0.6370168924331665,0.3333333333333333,0.032345134903023695,2.2713384241968093,-0.316542387008667,0.3333333333333333,-0.05891029830195696,-0.5909654220400433
